cost,incumbents,operation_time
63.888606407368165,0.8026603701039505,17.58081316947937
72.46466318878171,0.8026603701039505,33.0874559879303
81.17677225034636,0.8026603701039505,50.09534311294556
89.98464681283468,0.8026603701039505,67.92016816139221
99.81510349555394,0.8026603701039505,84.3537232875824
109.47967297374922,0.8026603701039505,102.12621808052063
117.82575200094321,0.8026603701039505,119.71020007133484
126.28503811837301,0.8026603701039505,140.20881628990173
103.98588496551314,0.8026603701039505,162.35392117500305
112.97284176776768,0.8026603701039505,184.1760859489441
115.59094395255356,0.8026603701039505,206.89507722854614
118.39542679566766,0.8026603701039505,228.39923000335693
128.13492744759785,0.8026603701039505,249.72048115730286
137.733965494075,0.8026603701039505,270.6443672180176
146.2990384105985,0.8026603701039505,293.3666203022003
155.85760819702068,0.8026603701039505,316.0046560764313
