cost,incumbents,operation_time
50.0,2.3346,0.0
59.828244210462536,2.3346,56.467825174331665
69.43159443867512,2.3346,99.46830725669861
78.85316657130718,2.3346,144.03741836547852
88.10550149419336,2.3346,189.08762216567993
96.87414390141942,2.3346,233.38489770889282
104.7359901052556,2.3346,278.03818106651306
114.45122392496837,2.3346,323.560418844223
123.1244811015299,2.3346,374.81419110298157
131.94423791076082,2.3346,427.2385811805725
140.83641877712728,2.3346,479.15456986427307
147.56055074614045,2.3346,530.7921414375305
157.2160092350701,2.3346,583.3664965629578
166.10789963407075,2.3346,636.4636538028717
175.90526665375455,2.3346,689.4461195468903
185.7707973211945,2.3346,742.9625868797302
192.63037039059557,2.3346,796.4449515342712
202.61431146244104,2.3346,848.1174564361572
209.59425917869692,2.3346,900.8714101314545
214.67316387962333,2.3346,960.6691589355469
222.9071316062745,2.3346,1021.4777629375458
229.70162436549137,2.3346,1082.119474887848
236.2196167795796,2.3346,1143.1700518131256
242.5262687105855,2.3346,1203.2929525375366
251.23016083267134,2.5456000000000003,1265.0986602306366
261.1742428687818,2.5456000000000003,1327.9827196598053
267.77983128359756,2.5456000000000003,1390.448656797409
275.51975005122125,2.5456000000000003,1453.8662855625153
282.4296834365078,2.5456000000000003,1517.2521245479584
292.04045742848444,2.5456000000000003,1580.9405648708344
300.545312169438,2.5456000000000003,1646.8301920890808
